MessagesOverview.feature; Retrieve an overview of all messages per page
MessagesOverview.feature;" Message overview with no results
"
MessagesOverview.feature; Invalid scenarios
MessagesDelete.feature; delete nonexistent and nonread new messages
MessagesDelete.feature; delete nonexistent messages
MessagesDelete.feature;" delete read message + delete New message read for the first time
"
MessagesDetails.feature;" Retrieve details of an existing message with status READ
"
MessagesDetails.feature; Retrieve details of an non existing message
MessagesDetails.feature;" Retrieve details of an existing message with status NEW
"
ThirdPartyConsentDetails.feature;" Third party consent details by id
"
ThirdPartyAccountsWithConsentOverview.feature;" Available third party accounts with consent overview
"
ThirdPartyBankInformation.feature;" Check list of third party banks and PSD2 information NL
"
ThirdPartyBankInformation.feature;" Check PSD2 information FR
"
ThirdPartyAccountsTransactionsOverview.feature; Third party account transactions
ThirdPartyAccountDetail.feature; Third party account details by id
ValidateThirdPartyBankAccount.feature; Validate all the valid bank codes with correct IBAN numbers
ValidateThirdPartyBankAccount.feature; Invalid combinations for IBAN and bank code
ValidateThirdPartyBankAccount.feature; Invalid combinations for IBAN and bank code
ThirdPartyAccountsOverview.feature; Third party accounts overview
ThirdParyBankConsent.feature; Create a valid ThirdPartyConsent form
PensionSavingTransferCreate.feature; Create transfer for Pension Saving
PensionSavingTransferCreate.feature; Create transfer for Pension Saving with successful signing
PensionSavingTransferCreate.feature; Invalid field scenarios
PensionSavingTransferCreate.feature; Invalid scenarios
PensionSavingTransferSign.feature; Create invalid scenarios with creation performed
PensionSavingTransferSign.feature; Create invalid field scenarios with creation performed
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Account fully available
"
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Fully paid account no standing order
"
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Fully paid account with standing order
"
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Not fully paid account with standing order
"
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Not fully paid account no standing order
"
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Person too old for pensionsaving
"
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Annual transfer period Exceeded
"
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Pension saving active, no saving history
"
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Pension saving blocked
"
PensionSavingAccountDetails.feature; Retrieve details of an account with no pension saving active
PensionSavingAccountDetails.feature;" Retrieve details of pension saving account - Standing order greater than maximum allowed amount
"
PensionSavingTransferSuggestionDetails.feature; Pension saving transfer request
PensionSavingTransferSuggestionDetails.feature; Get transfer suggestion for subscription with insufficient balance on all accounts
InvestmentCategoryDetails.feature; Get category investment details
InvestmentCategoryDetails.feature; Get category investment details with invalid type or account number
SecuritiesAccounts.feature; Retrieve securities accounts details by id
SecuritiesAccounts.feature; Retrieve securities accounts details by invalid id
InvestmentCategoryOverview.feature;" Get category investment overview
"
InvestmentCategoryOverview.feature;" Get category investment overview - No products or categories
"
InvestmentCategoryOverview.feature; Get category investment overview - Invalid Account number
InvestmentCategoryOverview.feature;" Get category investment overview - Every category same weights
"
InvestmentInsurances.feature; Retrieve investment insurance details by id
InvestmentInsurances.feature; Retrieve investment insurance details by invalid id
InvestmentInsurances.feature; Retrieve investment insurance details by id
TermDeposits.feature; Retrieve the term deposit details by id
TermDeposits.feature; Retrieve the term deposit details by invalid id
CategoriesInvesting.feature;" Retrieve categories
"
CategoriesInvesting.feature;" Retrieve product groups by category
"
CategoriesInvesting.feature;" Retrieve product groups by category with no products
"
CategoriesVehicle.feature;" Retrieve categories
"
CategoriesVehicle.feature;" Retrieve product groups by category
"
CategoriesVehicle.feature;" Retrieve product groups by category with no products
"
VehicleInstallmentLoans.feature; Retrieve the installment loan by id
VehicleInstallmentLoans.feature; Retrieve the installment loan details by invalid id
VehicleInsurances.feature; Retrieve the vehicle insurances details by id
VehicleInsurances.feature; Retrieve the vehicle insurance details by invalid id
LivingInstallmentLoans.feature; Retrieve the installment loan by id
LivingInstallmentLoans.feature; Retrieve the installment loan details by invalid id
InsuredLiving.feature; Retrieve the insured living by id
InsuredLiving.feature; Retrieve the installment insured living by invalid id
BrigdeLoans.feature; Retrieve the bridge loan by id
BrigdeLoans.feature; Retrieve the bridge loan details by invalid id
DebtBalances.feature; Retrieve the debt balance by id
DebtBalances.feature; Retrieve the debt balances details by invalid id
MortgageLoans.feature; Retrieve the mortgage loan details by id
MortgageLoans.feature; Retrieve the mortgage loan details by invalid id
CategoriesLiving.feature;" Retrieve categories
"
CategoriesLiving.feature;" Retrieve product groups by category
"
CategoriesLiving.feature;" Retrieve product groups by category with no products
"
HospitalisationInsurances.feature; Retrieve the hospitalisation insurance details by id
HospitalisationInsurances.feature; Retrieve the hospitalisation insurance details by invalid id
LifeInsurances.feature; Retrieve the life insurance details by id
LifeInsurances.feature; Retrieve the life insurance details by invalid id
Familyinsurances.feature; Retrieve the family insurance details by id
Familyinsurances.feature; Retrieve the family insurance details by invalid id
CategoriesFamily.feature;" Retrieve categories
"
CategoriesFamily.feature;" Retrieve product groups by category
"
CategoriesFamily.feature;" Retrieve product groups by category with no products
"
CategoriesFamily.feature;" Retrieve product groups by category to verify Polis Verzekerd Wonen+ is shown as a family product
"
FamilyInstallmentLoans.feature; Retrieve the installment loan by id
FamilyInstallmentLoans.feature; Retrieve the installment loan details by invalid id
OpenDebts.feature; as quality engineer I retrieve a list of accounts
AccountOverview.feature;" as a quality engineer I retrieve a list of accounts
"
AccountOverview.feature;" as a quality engineer I retrieve a list of accounts
"
AccountOverview.feature;" as a quality engineer I retrieve a list of accounts
"
ValidateApplication.feature;" Validate Application
"
ValidateApplication.feature;" Validate Application - Unemployed
"
ValidateApplication.feature;" Validate Application - Self Employed
"
SimulationBicycle.feature; Verify the correct amounts
SimulationBicycle.feature; Invalid scenarios
RetrieveProfessions.feature;" as quality engineer I retrieve a list of professions in Dutch
"
RetrieveProfessions.feature;" as quality engineer I retrieve a list of professions in French
"
PreApplicationCheck.feature;" CKP check & person Check
"
PreApplicationCheck.feature; CKP check & person Check
VzwPlusSimulation.feature; Verify correct values
VzwPlusSimulation.feature; Invalid scenarios - boundaries
VzwPlusSimulationSubmit.feature; Submit VZW+ simulation
VzwPlusSimulationSubmit.feature; Invalid testcases
VzwPlusSimulationSubmit.feature; Invalid testcases
BikeLoaSimulation.feature; Verify the correct amounts
BikeLoaSimulation.feature; Invalid scenarios
BikeLoaSimulationSubmit.feature; Submit LOA simulation
BikeLoaSimulationSubmit.feature; Invalid field errors
InstallmenLoansSimulation.feature; Loa Simulation
